date,goods_no,sell_num
2026-09-26,193808287,288
2026-09-26,193816812,390
2026-09-26,193847679,270
2026-09-26,193850555,702
2026-09-26,193852769,2304
2026-09-26,193852891,6981
2026-09-26,193853503,102
2026-09-26,193918984,162
2026-09-26,193988162,204
2026-09-26,194188912,4209
2026-09-26,194189421,3378
2026-09-26,194190603,306
2026-09-26,194254800,1935
2026-09-26,194315477,1902
2026-09-26,194350050,3123
2026-09-26,194368478,588
2026-09-26,194490137,66
2026-09-26,194490698,654
2026-09-26,194491867,3231
2026-09-26,194502134,228
2026-09-26,194502817,1884
2026-09-26,194513646,7230
2026-09-26,194523745,366
2026-09-26,194591330,486
2026-09-26,194601369,813
2026-09-26,194606659,1038
2026-09-26,194643187,1125
2026-09-26,194751433,438
2026-09-26,194820568,3534
2026-09-26,194890597,1509
2026-09-26,194907391,3213
2026-09-26,194907757,717
2026-09-26,194919963,1134
2026-09-26,195027158,1821
2026-09-26,195027162,5766
2026-09-26,195027680,798
2026-09-26,195030345,1278
2026-09-26,195042550,9081
2026-09-26,195075733,585
2026-09-26,195075984,864
2026-09-26,195093975,120
2026-09-26,195125344,666
2026-09-26,195137581,2484
2026-09-26,195141280,2916
2026-09-26,195212300,306
2026-09-26,195217540,252
2026-09-26,195220905,294
2026-09-26,195234494,168
2026-09-26,195235902,516
2026-09-26,195238254,1182
2026-09-26,195254242,903
2026-09-26,195257074,1344
2026-09-26,195265923,6126
2026-09-26,195277760,741
2026-09-26,195413173,618
2026-09-26,195413175,3396
2026-09-26,195413176,1863
2026-09-26,195414502,474
2026-09-26,195436652,2802
2026-09-26,195440647,1080
2026-09-26,195475095,912
2026-09-26,195475100,1182
2026-09-26,195475102,1326
2026-09-26,195479527,1356
2026-09-26,195593367,2778
2026-09-26,195612765,5619
2026-09-26,195614571,84
2026-09-26,195775257,1824
2026-09-26,195776621,1611
2026-09-26,195811384,1194
2026-09-26,195827616,1062
2026-09-26,195827803,1524
2026-09-26,195828801,1389
2026-09-26,195832463,2946
2026-09-26,195853109,948
2026-09-26,195856718,567
2026-09-26,195959641,6180
2026-09-26,196013239,1635
2026-09-26,196016066,330
2026-09-26,196019732,1020
2026-09-26,196020146,5046
2026-09-26,196106713,1002
2026-09-26,196106714,4662
2026-09-26,196113383,1350
2026-09-26,196118220,3603
2026-09-26,196123705,612
2026-09-26,196209093,1158
2026-09-26,196263351,3618
2026-09-26,196266161,648
2026-09-26,196285732,162
2026-09-26,196319354,432
2026-09-26,196345627,1668
2026-09-26,196353226,492
2026-09-26,196359755,1641
2026-09-26,196487132,42
2026-09-26,196504323,102
2026-09-26,196512169,1050
2026-09-26,196521682,1968
2026-09-26,196551222,7833
2026-09-26,196557581,822
2026-09-26,196557823,222
2026-09-26,196560014,84
2026-09-26,196628574,1290
2026-09-26,196634675,102
2026-09-26,196670694,696
2026-09-26,196679322,708
2026-09-26,196681594,180
2026-09-26,196696319,282
2026-09-26,196726844,120
2026-09-26,196783010,1320
2026-09-26,196789645,60
2026-09-26,196815992,180
2026-09-26,196815993,60
2026-09-26,196825790,420
2026-09-26,196826852,420
2026-09-26,196898651,60
2026-09-26,196903954,120
2026-09-26,196903957,120
2026-09-27,112343709,1458
2026-09-27,112347078,1380
2026-09-27,116860343,10989
2026-09-27,125137664,1272
2026-09-27,125648104,168
2026-09-27,129043457,246
2026-09-27,129602186,2424
2026-09-27,129602748,1782
2026-09-27,132766309,492
2026-09-27,139563085,762
2026-09-27,139604589,378
2026-09-27,139734696,2370
2026-09-27,141311308,48
2026-09-27,141312058,186
2026-09-27,142558644,90
2026-09-27,142637189,246
2026-09-27,144043886,1212
2026-09-27,145099755,1350
2026-09-27,145338919,552
2026-09-27,145575183,72
2026-09-27,145656189,72
2026-09-27,145995000,12
2026-09-27,146262491,144
2026-09-27,146741944,48
2026-09-27,147127904,612
2026-09-27,147341992,576
2026-09-27,147572534,216
2026-09-27,147852321,306
2026-09-27,148079920,36
2026-09-27,148080194,2829
2026-09-27,148369512,336
2026-09-27,148386650,474
2026-09-27,149195623,1992
2026-09-27,149385474,120
2026-09-27,149414736,10014
2026-09-27,149607439,696
2026-09-27,150009333,2277
2026-09-27,150547033,336
2026-09-27,151359723,426
2026-09-27,151852205,522
2026-09-27,152079426,16740
2026-09-27,152110612,414
2026-09-27,152111138,1062
2026-09-27,152119137,3198
2026-09-27,152363144,714
2026-09-27,152449732,474
2026-09-27,152498115,294
2026-09-27,152647602,918
2026-09-27,152649327,1428
2026-09-27,152814420,2637
2026-09-27,153603522,2208
2026-09-27,153717914,96
2026-09-27,154238820,414
2026-09-27,154254878,4086
2026-09-27,157776421,1392
2026-09-27,158727530,2400
2026-09-27,159039383,882
2026-09-27,159169056,192
2026-09-27,160153205,348
2026-09-27,161924116,1242
2026-09-27,162178083,822
2026-09-27,162211876,678
2026-09-27,162322988,8574
2026-09-27,165239801,9342
2026-09-27,167144757,1476
2026-09-27,167464778,294
2026-09-27,167646172,156
2026-09-27,168274102,408
2026-09-27,168457235,444
